cast_member,title_count,weighted_degree,component_id,community_id,ecosystem_label
Julie Tejwani,33,94.0,5,4,US animation and game voice cluster
Rupa Bhimani,31,91.0,5,4,US animation and game voice cluster
Rajesh Kava,26,83.0,5,4,US animation and game voice cluster
Jigna Bhardwaj,23,79.0,5,4,US animation and game voice cluster
Vatsal Dubey,18,71.0,5,4,US animation and game voice cluster
Takahiro Sakurai,32,61.0,2,2,Western animation voice cluster
Andrea Libman,25,59.0,3,3,Anime voice cluster
Daisuke Ono,22,52.0,2,2,Western animation voice cluster
Yuki Kaji,29,51.0,2,2,Western animation voice cluster
Vincent Tong,26,45.0,3,3,Anime voice cluster
Junichi Suwabe,21,42.0,2,2,Western animation voice cluster
Mamoru Miyano,19,42.0,2,2,Western animation voice cluster
Kana Hanazawa,18,41.0,2,2,Western animation voice cluster
Alessandro Juliani,17,38.0,3,3,Anime voice cluster
Diana Kaarina,18,37.0,3,3,Anime voice cluster
Erin Fitzgerald,19,30.0,4,5,Monty Python comedy cluster
Yuichi Nakamura,19,29.0,2,2,Western animation voice cluster
Kate Higgins,17,29.0,4,5,Monty Python comedy cluster
Ashleigh Ball,21,29.0,3,3,Anime voice cluster
Laura Bailey,18,28.0,4,5,Monty Python comedy cluster
Akshay Kumar,30,23.0,1,1,Indian film ensemble
Shah Rukh Khan,35,22.0,1,1,Indian film ensemble
Debi Derryberry,18,22.0,4,5,Monty Python comedy cluster
Anupam Kher,43,21.0,1,1,Indian film ensemble
Kareena Kapoor,25,19.0,1,1,Indian film ensemble
Paresh Rawal,28,17.0,1,1,Indian film ensemble
Ai Kayano,19,16.0,2,2,Western animation voice cluster
Rajpal Yadav,17,16.0,1,1,Indian film ensemble
Tara Strong,23,16.0,3,3,Anime voice cluster
Boman Irani,27,15.0,1,1,Indian film ensemble
David Spade,19,15.0,6,6,Other recurring ecosystem 6
Brian Drummond,17,14.0,3,3,Anime voice cluster
Om Puri,30,13.0,1,1,Indian film ensemble
Fortune Feimster,18,11.0,6,6,Other recurring ecosystem 6
Naseeruddin Shah,32,7.0,1,1,Indian film ensemble
Fred Tatasciore,23,7.0,4,5,Monty Python comedy cluster
Amitabh Bachchan,28,6.0,1,1,Indian film ensemble
Salman Khan,20,5.0,1,1,Indian film ensemble
Priyanka Chopra,17,4.0,1,1,Indian film ensemble
Adam Sandler,20,4.0,6,6,Other recurring ecosystem 6
Seth Rogen,19,3.0,7,7,Other recurring ecosystem 7
Gulshan Grover,19,3.0,8,8,Other recurring ecosystem 8
Ajay Devgn,21,3.0,1,1,Indian film ensemble
James Franco,19,3.0,7,7,Other recurring ecosystem 7
Anil Kapoor,18,3.0,1,1,Indian film ensemble
Jackie Shroff,17,3.0,8,8,Other recurring ecosystem 8
